seed   0  truth +18.89%  g-formula +18.75%  err  -0.14pp   [0.4 min, ~38 min left]
seed   1  truth +12.41%  g-formula +16.41%  err  +3.99pp   [0.6 min, ~31 min left]
seed   2  truth +13.90%  g-formula +12.48%  err  -1.42pp   [1.1 min, ~36 min left]
seed   3  truth +16.67%  g-formula +14.60%  err  -2.07pp   [1.4 min, ~34 min left]
seed   4  truth +14.89%  g-formula +13.90%  err  -0.99pp   [1.9 min, ~36 min left]
seed   5  truth +13.02%  g-formula +14.22%  err  +1.21pp   [2.3 min, ~35 min left]
seed   6  truth +12.77%  g-formula +17.44%  err  +4.67pp   [2.6 min, ~35 min left]
seed   7  truth +18.69%  g-formula +15.08%  err  -3.61pp   [2.9 min, ~34 min left]
seed   8  truth +12.45%  g-formula +16.32%  err  +3.87pp   [3.3 min, ~33 min left]
seed   9  truth +12.57%  g-formula +15.15%  err  +2.58pp   [3.6 min, ~32 min left]
seed  10  truth +15.63%  g-formula +13.64%  err  -1.99pp   [3.9 min, ~32 min left]
seed  11  truth +16.80%  g-formula +16.04%  err  -0.76pp   [4.3 min, ~31 min left]
seed  12  truth +18.16%  g-formula +12.97%  err  -5.19pp   [4.7 min, ~31 min left]
seed  13  truth +13.94%  g-formula +17.78%  err  +3.84pp   [4.9 min, ~30 min left]
seed  14  truth +12.59%  g-formula +16.77%  err  +4.17pp   [5.3 min, ~30 min left]
seed  15  truth +15.98%  g-formula +19.07%  err  +3.09pp   [5.7 min, ~30 min left]
seed  16  truth +17.04%  g-formula +18.20%  err  +1.16pp   [6.1 min, ~30 min left]
seed  17  truth +11.58%  g-formula +15.43%  err  +3.86pp   [6.4 min, ~29 min left]
seed  18  truth +16.67%  g-formula +10.57%  err  -6.10pp   [6.8 min, ~29 min left]
seed  19  truth +13.57%  g-formula +14.59%  err  +1.02pp   [7.1 min, ~28 min left]
seed  20  truth +14.20%  g-formula +12.00%  err  -2.20pp   [7.3 min, ~27 min left]
seed  21  truth +11.88%  g-formula +15.01%  err  +3.13pp   [7.6 min, ~27 min left]
seed  22  truth +17.97%  g-formula +18.20%  err  +0.23pp   [8.1 min, ~27 min left]
seed  23  truth +14.47%  g-formula +13.23%  err  -1.24pp   [8.4 min, ~27 min left]
seed  24  truth +16.15%  g-formula +11.80%  err  -4.34pp   [8.7 min, ~26 min left]
seed  25  truth +12.54%  g-formula +17.38%  err  +4.84pp   [9.0 min, ~26 min left]
seed  26  truth +14.04%  g-formula +16.22%  err  +2.18pp   [9.2 min, ~25 min left]
seed  27  truth +10.09%  g-formula +17.42%  err  +7.33pp   [9.5 min, ~24 min left]
seed  28  truth +12.56%  g-formula +17.35%  err  +4.78pp   [9.8 min, ~24 min left]
seed  29  truth +18.88%  g-formula +16.14%  err  -2.74pp   [10.1 min, ~24 min left]
seed  30  truth +11.13%  g-formula +17.83%  err  +6.70pp   [10.5 min, ~23 min left]
seed  31  truth +17.34%  g-formula +15.31%  err  -2.03pp   [10.8 min, ~23 min left]
seed  32  truth +14.43%  g-formula +15.82%  err  +1.39pp   [11.1 min, ~23 min left]
seed  33  truth +13.12%  g-formula +14.23%  err  +1.11pp   [11.4 min, ~22 min left]
seed  34  truth +16.99%  g-formula +15.10%  err  -1.89pp   [11.7 min, ~22 min left]
seed  35  truth +12.95%  g-formula +12.38%  err  -0.57pp   [12.1 min, ~21 min left]
seed  36  truth +11.57%  g-formula  +8.62%  err  -2.95pp   [12.3 min, ~21 min left]
seed  37  truth +13.65%  g-formula +12.35%  err  -1.29pp   [12.7 min, ~21 min left]
seed  38  truth +15.90%  g-formula +18.87%  err  +2.97pp   [13.0 min, ~20 min left]
seed  39  truth  +9.80%  g-formula +12.81%  err  +3.01pp   [13.3 min, ~20 min left]
seed  40  truth +15.93%  g-formula +16.15%  err  +0.22pp   [13.6 min, ~20 min left]
seed  41  truth +13.73%  g-formula +13.77%  err  +0.04pp   [14.0 min, ~19 min left]
seed  42  truth +12.32%  g-formula +10.45%  err  -1.87pp   [14.3 min, ~19 min left]
seed  43  truth +17.11%  g-formula +19.98%  err  +2.87pp   [14.6 min, ~19 min left]
seed  44  truth +13.65%  g-formula +11.58%  err  -2.07pp   [15.0 min, ~18 min left]
seed  45  truth +15.20%  g-formula +16.84%  err  +1.64pp   [15.3 min, ~18 min left]
seed  46  truth +13.66%  g-formula +20.22%  err  +6.56pp   [15.6 min, ~18 min left]
seed  47  truth +14.05%  g-formula +16.05%  err  +2.00pp   [15.9 min, ~17 min left]
seed  48  truth +16.79%  g-formula +17.32%  err  +0.54pp   [16.3 min, ~17 min left]
seed  49  truth +13.52%  g-formula +12.89%  err  -0.63pp   [16.6 min, ~17 min left]
seed  50  truth +14.31%  g-formula +14.52%  err  +0.20pp   [16.9 min, ~16 min left]
seed  51  truth +12.83%  g-formula +13.76%  err  +0.93pp   [17.3 min, ~16 min left]
seed  52  truth +13.34%  g-formula +11.70%  err  -1.64pp   [17.6 min, ~16 min left]
seed  53  truth +15.91%  g-formula +11.89%  err  -4.02pp   [17.9 min, ~15 min left]
seed  54  truth +14.25%  g-formula +14.99%  err  +0.74pp   [18.2 min, ~15 min left]
seed  55  truth  +7.00%  g-formula +15.04%  err  +8.04pp   [18.5 min, ~15 min left]
seed  56  truth +12.70%  g-formula +14.22%  err  +1.52pp   [18.9 min, ~14 min left]
seed  57  truth +14.89%  g-formula +12.01%  err  -2.89pp   [19.2 min, ~14 min left]
seed  58  truth +11.73%  g-formula +16.54%  err  +4.81pp   [19.5 min, ~14 min left]
seed  59  truth +13.54%  g-formula +14.95%  err  +1.40pp   [19.8 min, ~13 min left]
seed  60  truth +16.71%  g-formula +12.38%  err  -4.34pp   [20.1 min, ~13 min left]
seed  61  truth +17.70%  g-formula +17.02%  err  -0.68pp   [20.4 min, ~13 min left]
seed  62  truth +13.61%  g-formula +15.07%  err  +1.46pp   [20.8 min, ~12 min left]
seed  63  truth +14.16%  g-formula +14.75%  err  +0.59pp   [21.2 min, ~12 min left]
seed  64  truth +15.64%  g-formula +15.48%  err  -0.16pp   [21.6 min, ~12 min left]
seed  65  truth +17.53%  g-formula +16.72%  err  -0.81pp   [22.0 min, ~11 min left]
seed  66  truth +15.42%  g-formula +13.92%  err  -1.50pp   [22.4 min, ~11 min left]
seed  67  truth +14.91%  g-formula +11.60%  err  -3.31pp   [22.7 min, ~11 min left]
seed  68  truth +14.91%  g-formula +14.46%  err  -0.45pp   [23.0 min, ~10 min left]
seed  69  truth +15.40%  g-formula +16.71%  err  +1.31pp   [23.4 min, ~10 min left]
seed  70  truth +14.30%  g-formula +16.75%  err  +2.45pp   [23.6 min, ~10 min left]
seed  71  truth +17.50%  g-formula +13.97%  err  -3.53pp   [24.0 min, ~9 min left]
seed  72  truth +16.20%  g-formula +15.32%  err  -0.88pp   [24.3 min, ~9 min left]
seed  73  truth +13.13%  g-formula +16.19%  err  +3.07pp   [24.6 min, ~9 min left]
